Nomenclature achat;"Famille d'achat
(N-0)";"Domaines d'achat
(N-1)";"Catégories d'achat
(N-2)";"Segments  d'achat
(N-3)";Sous-segment;Produit élémentaire;"Code des Catégories Homogènes 
de fournitures et prestations"
DG60CB01;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;PROCREATION MEDICALEMENT ASSISTEE;DISPOSITIF INSEMINATION ARTIFICIELLE;INSEMINATION INTRA UTERINE;SONDE INSEMINATION INTRA UTERINE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG60CC01;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;PROCREATION MEDICALEMENT ASSISTEE;DISPOSITIF INSEMINATION ARTIFICIELLE;SERINGUE INSEMINATION ARTIFICIELLE;SERINGUE INSEMINATION ARTIFICIELLE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG60CD01;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;PROCREATION MEDICALEMENT ASSISTEE;DISPOSITIF INSEMINATION ARTIFICIELLE;PERFUSION TUBAIRE;SET PERFUSION TUBAIRE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG60CZ99;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;PROCREATION MEDICALEMENT ASSISTEE;DISPOSITIF INSEMINATION ARTIFICIELLE;DISPOSITIF INSEMINATION ARTIFICIELLE AUTRE;DISPOSITIF INSEMINATION ARTIFICIELLE AUTRE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG60GA01;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;PROCREATION MEDICALEMENT ASSISTEE;DISPOSITIF FECONDATION IN VITRO;TRANSFERT EMBRYON;CATHETER TRANSFERT EMBRYON;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG60GA02;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;PROCREATION MEDICALEMENT ASSISTEE;DISPOSITIF FECONDATION IN VITRO;TRANSFERT EMBRYON;GUIDE CATHETER TRANSFERT EMBRYON;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG60GA03;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;PROCREATION MEDICALEMENT ASSISTEE;DISPOSITIF FECONDATION IN VITRO;TRANSFERT EMBRYON;SET TRANSFERT EMBRYON;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG60GB01;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;PROCREATION MEDICALEMENT ASSISTEE;DISPOSITIF FECONDATION IN VITRO;CATHETER ESSAI TEST TRANSFERT EMBRYON;CATHETER ESSAI TEST TRANSFERT EMBRYON;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG60HA01;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;PROCREATION MEDICALEMENT ASSISTEE;DISPOSITIF ACCES TUBAIRE;CATHETER ACCES TUBAIRE;CATHETER TRANSFERT INTRA TUBAIRE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG60HA02;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;PROCREATION MEDICALEMENT ASSISTEE;DISPOSITIF ACCES TUBAIRE;CATHETER ACCES TUBAIRE;SET CATHETERISME INTRA TUBAIRE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG61BA01;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;IVG;DISPOSITIF ASPIRATION IVG;CURETTE IVG;CURETTE RIGIDE IVG;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG61BA02;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;IVG;DISPOSITIF ASPIRATION IVG;CURETTE IVG;CURETTE SOUPLE IVG;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG61BB01;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;IVG;DISPOSITIF ASPIRATION IVG;TUYAU ASPIRATION IVG;TUYAU ASPIRATION IVG;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG61BB02;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;IVG;DISPOSITIF ASPIRATION IVG;TUYAU ASPIRATION IVG;TUYAU ASPIRATION ET MANCHON IVG;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG61BZ99;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;IVG;DISPOSITIF ASPIRATION IVG;DISPOSITIF ASPIRATION IVG AUTRE;DISPOSITIF ASPIRATION IVG AUTRE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG61CA01;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;IVG;DISPOSITIF RECUEIL IVG;RECIPIENT RECUPERATION IVG;RECIPIENT RECUPERATION SANS PANIER IVG;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG61CA02;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;IVG;DISPOSITIF RECUEIL IVG;RECIPIENT RECUPERATION IVG;RECIPIENT RECUPERATION AVEC PANIER IVG;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG61CB01;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;IVG;DISPOSITIF RECUEIL IVG;POCHE RECUPERATION IVG;POCHE RECUPERATION IVG;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG61CC01;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;IVG;DISPOSITIF RECUEIL IVG;PANIER RECUPERATION IVG;PANIER RECUPERATION  IVG;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG61CZ99;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;IVG;DISPOSITIF RECUEIL IVG;DISPOSITIF RECUEIL IVG AUTRE;DISPOSITIF RECUEIL IVG AUTRE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG62AA01;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;OBSTETRIQUE;DISPOSITIF OBSTETRICAL;DISPOSITIF CORDON OMBILICAL;CLAMP OMBILICAL;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG62AA02;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;OBSTETRIQUE;DISPOSITIF OBSTETRICAL;DISPOSITIF CORDON OMBILICAL;PINCE COUPE CLAMP;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG62AA03;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;OBSTETRIQUE;DISPOSITIF OBSTETRICAL;DISPOSITIF CORDON OMBILICAL;SET CLAMPAGE CORDON;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG62AB01;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;OBSTETRIQUE;DISPOSITIF OBSTETRICAL;PERFORATEUR AMNIOTIQUE;PERFORATEUR AMNIOTIQUE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG62AC01;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;OBSTETRIQUE;DISPOSITIF OBSTETRICAL;POCHE RECUEIL PLACENTAIRE;POCHE RECUEIL PLACENTAIRE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG62AD01;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;OBSTETRIQUE;DISPOSITIF OBSTETRICAL;SURVEILLANCE FŒTALE;CATHETER PRESSION INTRA-UTERINE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG62AD02;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;OBSTETRIQUE;DISPOSITIF OBSTETRICAL;SURVEILLANCE FŒTALE;ELECTRODE SCALP;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG62AD03;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;OBSTETRIQUE;DISPOSITIF OBSTETRICAL;SURVEILLANCE FŒTALE;CAPTEUR OXYMETRIE FŒTAL;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG62AD04;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;OBSTETRIQUE;DISPOSITIF OBSTETRICAL;SURVEILLANCE FŒTALE;DISPOSITIF PRELEVEMENT SANGUIN AU SCALP;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG62AD05;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;OBSTETRIQUE;DISPOSITIF OBSTETRICAL;SURVEILLANCE FŒTALE;CAPTEUR CARDIOTOCOGRAPHE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG62AD98;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;OBSTETRIQUE;DISPOSITIF OBSTETRICAL;SURVEILLANCE FŒTALE;SURVEILLANCE FŒTALE COMPLEMENT;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG62AD99;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;OBSTETRIQUE;DISPOSITIF OBSTETRICAL;SURVEILLANCE FŒTALE;SURVEILLANCE FŒTALE AUTRE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG62AE01;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;OBSTETRIQUE;DISPOSITIF OBSTETRICAL;VENTOUSE FORCEPS ACCESSOIRE POUR ACCOUCHEMENT;VENTOUSE A POMPE OU VIDE MURAL;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG62AE02;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;OBSTETRIQUE;DISPOSITIF OBSTETRICAL;VENTOUSE FORCEPS ACCESSOIRE POUR ACCOUCHEMENT;VENTOUSE A POMPE INTEGREE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG62AE03;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;OBSTETRIQUE;DISPOSITIF OBSTETRICAL;VENTOUSE FORCEPS ACCESSOIRE POUR ACCOUCHEMENT;POMPE VENTOUSE POUR ACCOUCHEMENT;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG62AE04;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;OBSTETRIQUE;DISPOSITIF OBSTETRICAL;VENTOUSE FORCEPS ACCESSOIRE POUR ACCOUCHEMENT;FORCEPS OSTETRICAL;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG62AE05;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;OBSTETRIQUE;DISPOSITIF OBSTETRICAL;VENTOUSE FORCEPS ACCESSOIRE POUR ACCOUCHEMENT;SPATULE OBSTETRICALE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG62AF01;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;OBSTETRIQUE;DISPOSITIF OBSTETRICAL;INSTRUMENTATION SALLE ACCOUCHEMENT;CISEAUX EPISIOTOMIE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG62AG01;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;OBSTETRIQUE;DISPOSITIF OBSTETRICAL;COMPRESSION UTERUS;CATHETER BALLONNET HEMORAGIE DE LA DELIVRANCE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG62AZ99;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;OBSTETRIQUE;DISPOSITIF OBSTETRICAL;DISPOSITIF POUR SALLE D'ACCOUCHEMENT AUTRE;DISPOSITIF POUR SALLE D'ACCOUCHEMENT AUTRE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG62EA01;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;OBSTETRIQUE;DIAGNOSTIC ANTENATAL;DISPOSITIF CHORIOCENTESE;AIGUILLE CHORIOCENTESE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG62EB01;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;OBSTETRIQUE;DIAGNOSTIC ANTENATAL;DISPOSITIF AMNIOCENTESE ET CORDOCENTESE;AIGUILLE AMNIOCENTESE ET CORDOCENTESE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG62EB02;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;OBSTETRIQUE;DIAGNOSTIC ANTENATAL;DISPOSITIF AMNIOCENTESE ET CORDOCENTESE;SET COMPLET AMNIOCENTESE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG62EC01;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;OBSTETRIQUE;DIAGNOSTIC ANTENATAL;AMNIOSCOPIE;AMNIOSCOPE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG62EZ99;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;OBSTETRIQUE;DIAGNOSTIC ANTENATAL;DIAGNOSTIC ANTENATAL AUTRE;DIAGNOSTIC ANTENATAL AUTRE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG62FA01;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;OBSTETRIQUE;SET SOIN OBSTETRIQUE;SET SOIN CORDON;SET SOIN CORDON;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG62FB01;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;OBSTETRIQUE;SET SOIN OBSTETRIQUE;SET SOIN EPISIOTOMIE;SET SOIN EPISIOTOMIE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG63AA01;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;PREVENTION SYSTEME UROGENITAL;DISPOSITIF CONTRACEPTIF;DIAPHRAGME;DIAPHRAGME;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG63AB01;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;PREVENTION SYSTEME UROGENITAL;DISPOSITIF CONTRACEPTIF;STERILET;STERILET;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG63AC01;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;PREVENTION SYSTEME UROGENITAL;DISPOSITIF CONTRACEPTIF;PRESERVATIF;PRESERVATIF MASCULIN LATEX;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG63AC02;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;PREVENTION SYSTEME UROGENITAL;DISPOSITIF CONTRACEPTIF;PRESERVATIF;PRESERVATIF MASCULIN SANS LATEX;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG63AC03;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;PREVENTION SYSTEME UROGENITAL;DISPOSITIF CONTRACEPTIF;PRESERVATIF;PRESERVATIF FEMININ;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG63AZ99;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;PREVENTION SYSTEME UROGENITAL;DISPOSITIF CONTRACEPTIF;DISPOSITIF CONTRACEPTIF AUTRE;DISPOSITIF CONTRACEPTIF AUTRE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG63BA01;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;PREVENTION SYSTEME UROGENITAL;STERILISATION FEMININE;LIGATURE TROMPES;CLIP FILSHIE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG63BA02;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;PREVENTION SYSTEME UROGENITAL;STERILISATION FEMININE;LIGATURE TROMPES;CLIP DE HULKA;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG63BA03;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;PREVENTION SYSTEME UROGENITAL;STERILISATION FEMININE;LIGATURE TROMPES;ANNEAU SILICONE ;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG63BB01;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;PREVENTION SYSTEME UROGENITAL;STERILISATION FEMININE;STERILISATION TUBAIRE HYSTEROSCOPIE;IMPLANT STERILISATION TUBAIRE HYSTEROSCOPIE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG63BZ99;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;PREVENTION SYSTEME UROGENITAL;STERILISATION FEMININE;STERILISATION FEMININE AUTRE;STERILISATION FEMININE AUTRE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG64AA01;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;GYNECOLOGIE;EXPLORATION FONCTIONNELLE GYNECOLOGIE;EXPLORATION FONCTIONNELLE VAGIN;SPECULUM VAGINAL DE COLLIN;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG64AA02;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;GYNECOLOGIE;EXPLORATION FONCTIONNELLE GYNECOLOGIE;EXPLORATION FONCTIONNELLE VAGIN;SPECULUM VAGINAL DE CUSCO;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG64AA03;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;GYNECOLOGIE;EXPLORATION FONCTIONNELLE GYNECOLOGIE;EXPLORATION FONCTIONNELLE VAGIN;SONDE ECHOGRAPHIE VAGINALE ACCENTUATION CONTRASTE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG64AA99;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;GYNECOLOGIE;EXPLORATION FONCTIONNELLE GYNECOLOGIE;EXPLORATION FONCTIONNELLE VAGIN;EXPLORATION FONCTIONNELLE VAGIN AUTRE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG64AB01;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;GYNECOLOGIE;EXPLORATION FONCTIONNELLE GYNECOLOGIE;EXPLORATION FONCTIONNELLE UTERUS;HYSTEROMETRE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG64AB02;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;GYNECOLOGIE;EXPLORATION FONCTIONNELLE GYNECOLOGIE;EXPLORATION FONCTIONNELLE UTERUS;SONDE HYSTEROGRAPHIE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG64AB03;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;GYNECOLOGIE;EXPLORATION FONCTIONNELLE GYNECOLOGIE;EXPLORATION FONCTIONNELLE UTERUS;SERINGUE HYSTEROGRAPHIE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG64AB04;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;GYNECOLOGIE;EXPLORATION FONCTIONNELLE GYNECOLOGIE;EXPLORATION FONCTIONNELLE UTERUS;SET HYSTEROGRAPHIE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG64AB99;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;GYNECOLOGIE;EXPLORATION FONCTIONNELLE GYNECOLOGIE;EXPLORATION FONCTIONNELLE UTERUS;EXPLORATION FONCTIONNELLE UTERUS AUTRE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG64BA01;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;GYNECOLOGIE;PRELEVEMENT GYNECOLOGIE;PRELEVEMENT VAGIN;SPATULE AYRE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG64BB01;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;GYNECOLOGIE;PRELEVEMENT GYNECOLOGIE;PRELEVEMENT UTERUS ET COL;BROSSE ECOUVILLON GYNECOLOGIE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG64BB02;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;GYNECOLOGIE;PRELEVEMENT GYNECOLOGIE;PRELEVEMENT UTERUS ET COL;SYSTEME PRELEVEMENT GYNECOLOGIQUE PAR ASPIRATION;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG64BB03;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;GYNECOLOGIE;PRELEVEMENT GYNECOLOGIE;PRELEVEMENT UTERUS ET COL;SONDE BIOPSIE ENDOMETRE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG64BB04;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;GYNECOLOGIE;PRELEVEMENT GYNECOLOGIE;PRELEVEMENT UTERUS ET COL;SYSTEME PRELEVEMENT ENDOMETRIAL A LAME;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG64BB99;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;GYNECOLOGIE;PRELEVEMENT GYNECOLOGIE;PRELEVEMENT UTERUS ET COL;PRELEVEMENT UTERUS ET COL AUTRE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG64CA01;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;GYNECOLOGIE;TRAITEMENT PALIATIF PROLAPSUS;PESSAIRE;PESSAIRE CUBE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG64CA02;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;GYNECOLOGIE;TRAITEMENT PALIATIF PROLAPSUS;PESSAIRE;PESSAIRE ANNEAU;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG64CA99;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;GYNECOLOGIE;TRAITEMENT PALIATIF PROLAPSUS;PESSAIRE;PESSAIRE AUTRE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG65AA01;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;INSTRUMENTATION ET CONSOMMABLE SYSTEME UROGENITAL;INSTRUMENTATION ET CONSOMMABLE UROLOGIE;CONSOMMABLE LASER;FIBRE OPTIQUE CALCUL URINAIRE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG65AA02;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;INSTRUMENTATION ET CONSOMMABLE SYSTEME UROGENITAL;INSTRUMENTATION ET CONSOMMABLE UROLOGIE;CONSOMMABLE LASER;FIBRE OPTIQUE PROSTATECTOMIE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG65AA99;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;INSTRUMENTATION ET CONSOMMABLE SYSTEME UROGENITAL;INSTRUMENTATION ET CONSOMMABLE UROLOGIE;CONSOMMABLE LASER;CONSOMMABLE LASER AUTRE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG65BA01;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;INSTRUMENTATION ET CONSOMMABLE SYSTEME UROGENITAL;INSTRUMENTATION ET CONSOMMABLE GYNECOLOGIE;TRAITEMENT COL UTERUS;ANSE ENDOCERVICALE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG65BA02;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;INSTRUMENTATION ET CONSOMMABLE SYSTEME UROGENITAL;INSTRUMENTATION ET CONSOMMABLE GYNECOLOGIE;TRAITEMENT COL UTERUS;ELECTRODE CERVICALE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG65BA03;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;INSTRUMENTATION ET CONSOMMABLE SYSTEME UROGENITAL;INSTRUMENTATION ET CONSOMMABLE GYNECOLOGIE;TRAITEMENT COL UTERUS;PINCE TRACTION COL UTERIN;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG65BA04;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;INSTRUMENTATION ET CONSOMMABLE SYSTEME UROGENITAL;INSTRUMENTATION ET CONSOMMABLE GYNECOLOGIE;TRAITEMENT COL UTERUS;CISEAUX COUPE FILS DIU;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG65BA05;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;INSTRUMENTATION ET CONSOMMABLE SYSTEME UROGENITAL;INSTRUMENTATION ET CONSOMMABLE GYNECOLOGIE;TRAITEMENT COL UTERUS;PINCE OU CROCHET RETRAIT DIU;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG65BA99;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;INSTRUMENTATION ET CONSOMMABLE SYSTEME UROGENITAL;INSTRUMENTATION ET CONSOMMABLE GYNECOLOGIE;TRAITEMENT COL UTERUS;INSTRUMENTATION ET CONSOMMABLE TRAITEMENT COL UTERUS AUTRE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG65BB01;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;INSTRUMENTATION ET CONSOMMABLE SYSTEME UROGENITAL;INSTRUMENTATION ET CONSOMMABLE GYNECOLOGIE;TRAITEMENT UTERUS;SYSTEME DESTRUCTION THERMIQUE ENDOMETRE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG65BB02;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;INSTRUMENTATION ET CONSOMMABLE SYSTEME UROGENITAL;INSTRUMENTATION ET CONSOMMABLE GYNECOLOGIE;TRAITEMENT UTERUS;SYSTEME DESTRUCTION ENDOMETRE RADIOFREQUENCE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG65BB03;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;INSTRUMENTATION ET CONSOMMABLE SYSTEME UROGENITAL;INSTRUMENTATION ET CONSOMMABLE GYNECOLOGIE;TRAITEMENT UTERUS;SYSTEME DESTRUCTION ENDOMETRE MICRO-ONDE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG65BB04;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;INSTRUMENTATION ET CONSOMMABLE SYSTEME UROGENITAL;INSTRUMENTATION ET CONSOMMABLE GYNECOLOGIE;TRAITEMENT UTERUS;SYSTEME DESTRUCTION ENDOMETRE CRYOABLATION;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
DG65BB05;DISPOSITIFS MEDICAUX;SYSTEME UROGENITAL;INSTRUMENTATION ET CONSOMMABLE SYSTEME UROGENITAL;INSTRUMENTATION ET CONSOMMABLE GYNECOLOGIE;TRAITEMENT UTERUS;ANSE RESECTION INTRA UTERINE;DISPOSITIFS MEDICAUX CONSOMMABLES POUR GYNECOLOGIE
